City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,hatillo,18.4863,-66.8254,87.1,81,97,8.99,PR,1721517720
308,riberalta,-10.9833,-66.1,81.1,38,7,2.68,BO,1721517720
309,tolanaro,-25.0319,46.9987,60.87,94,0,2.3,MG,1721517720
310,jiuquan,39.7432,98.5174,73.6,33,4,5.23,CN,1721517720
311,east london,-33.0153,27.9116,57.06,68,44,13.27,ZA,1721517720
312,morehead city,34.7229,-76.726,86.02,83,0,17.27,US,1721517720
313,vorkuta,67.5,64.0,39.85,63,4,5.93,RU,1721517466
314,shasta lake,40.6804,-122.3708,110.75,18,6,9.26,US,1721517720
315,chikwawa,-16.0335,34.8009,74.07,60,2,1.41,MW,1721517670
316,am timan,11.0297,20.2827,75.56,90,100,7.09,TD,1721517721
317,macomb,40.4592,-90.6718,76.62,64,0,1.01,US,1721517721
318,ridgecrest,35.6225,-117.6709,110.01,9,20,11.5,US,1721517609
319,novyy urengoy,66.0833,76.6333,46.54,67,21,11.63,RU,1721517721
320,frankenberg,51.0667,8.8,66.51,78,61,0.74,DE,1721517721
321,alice springs,-23.7,133.8833,38.75,75,0,3.44,AU,1721517721
322,guerrero negro,27.9769,-114.0611,78.15,63,52,15.32,MX,1721517721
323,antonio enes,-16.2325,39.9086,70.3,77,0,3.58,MZ,1721517721
324,vilyuysk,63.7553,121.6247,67.77,61,4,1.03,RU,1721517722
325,greymouth,-42.4667,171.2,48.88,83,93,5.64,NZ,1721517722
326,laramie,41.3114,-105.5911,77.54,22,66,15.82,US,1721517190
327,matehuala,23.65,-100.65,82.15,36,92,5.95,MX,1721517590
328,mana,5.6592,-53.7767,78.62,83,33,7.07,GF,1721517722
329,hasaki,35.7333,140.8333,84.29,88,100,5.35,JP,1721517722
330,boa vista,2.8197,-60.6733,80.58,78,40,4.61,BR,1721517722
331,fort mcmurray,56.7268,-111.381,83.79,47,0,5.75,CA,1721517722
332,omu-aran,8.1333,5.1,69.76,90,94,11.77,NG,1721517722
333,presidente medici,-11.1753,-61.9014,79.77,33,5,2.19,BR,1721517723
334,hurricane,37.1753,-113.2899,109.74,20,52,10.45,US,1721517723
335,atar,20.5169,-13.0499,97.23,18,40,7.0,MR,1721517723
336,qarchi gak,37.04,66.7889,84.6,20,1,15.68,AF,1721517723
337,changyon,38.2508,125.0961,73.8,86,100,8.61,KP,1721517723
338,dunedin,-45.8742,170.5036,52.81,74,21,3.0,NZ,1721517723
339,benin city,6.335,5.6275,71.64,99,66,2.8,NG,1721517723
340,punta arenas,-53.15,-70.9167,41.11,75,20,37.98,CL,1721517723
341,karratha,-20.7377,116.8463,62.38,40,34,14.14,AU,1721517723
342,urangan,-25.3,152.9,56.57,52,0,16.53,AU,1721517724
343,khamharia,20.9833,82.2667,78.19,92,78,5.26,IN,1721517550
344,ribeira brava,32.65,-17.0667,77.0,70,15,4.27,PT,1721517724
345,labytnangi,66.6572,66.4183,42.67,74,0,2.91,RU,1721517724
346,santanyi,39.3546,3.1291,79.99,90,0,7.65,ES,1721517724
347,troitsko-pechorsk,62.7084,56.1964,54.54,73,95,4.29,RU,1721517724
348,atherton,53.5237,-2.4935,60.94,96,100,3.0,GB,1721517724
349,mukalla,14.5425,49.1242,84.67,65,63,4.63,YE,1721517724
350,sabana de torres,7.3915,-73.4957,86.61,77,17,2.59,CO,1721517725
351,amungan,15.3652,119.9582,82.49,80,97,8.52,PH,1721517725
352,ivdel',60.6911,60.4206,47.46,85,0,8.9,RU,1721517725
353,lebu,-37.6167,-73.65,45.46,76,1,16.6,CL,1721517725
354,chepelare,41.7333,24.6833,69.19,64,66,5.1,BG,1721517725
355,chibougamau,49.9168,-74.3659,55.02,58,40,13.8,CA,1721517438
356,gordonvale,-17.0936,145.7842,66.94,87,86,3.44,AU,1721517725
357,la sarre,48.8002,-79.1996,63.01,56,5,8.59,CA,1721517725
358,maralal,1.0968,36.698,60.31,84,98,3.24,KE,1721517725
359,jaraiz de la vera,40.0601,-5.7543,68.58,60,22,6.69,ES,1721517726
360,kilindoni,-7.9139,39.6668,76.57,74,30,12.15,TZ,1721517726
361,mandalgovi,45.7625,106.2708,65.16,76,57,12.55,MN,1721517726
362,cidreira,-30.1811,-50.2056,61.03,93,88,9.78,BR,1721517726
363,mermoz boabab,14.7065,-17.4758,82.18,78,75,9.22,SN,1721517726
364,kruisfontein,-34.0033,24.7314,46.89,86,20,9.48,ZA,1721517726
